alg	cnt	n	e	m	k	pf	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	nr	|a|	|b|	r	H	k	md	pr	bf	dist-func	seeds	matches	f-match	expanded	explored	dbl	ret	prunes	shift	band	precom	align	prune	ed	h0	dm-fr
pa	3333	3000	0.01	0	20	1.0	0.9690	0:00:00	26.75	37.70	20.54	20.99	0.00	0.00	0.00	0.48	3333	3000	2999	0.00	GapSeed	20	0	1		Gap	150	125	125	3019	3081	0	0	125	90	1.03	0.09	0.19	0.03	27	26	0.273
pa	3333	3000	0.01	0	25	1.0	0.8777	0:00:00	26.51	37.55	20.47	20.89	0.00	0.00	0.00	0.47	3333	3000	2999	0.00	GapSeed	25	0	1		Gap	120	96	96	3022	3087	0	0	95	63	1.03	0.07	0.17	0.02	27	25	0.271
pa	3333	3000	0.01	0	31	1.0	0.8238	0:00:00	26.51	37.54	20.45	20.89	0.00	0.00	0.00	0.50	3333	3000	2999	0.00	GapSeed	31	0	1		Gap	96	72	72	3027	3096	1	0	72	43	1.03	0.07	0.16	0.02	27	24	0.267
pa	3333	3000	0.05	0	6	1.0	2.7896	0:00:02	26.73	37.95	20.78	21.21	19.09	0.00	73.13	2.49	3333	3000	3000	0.00	GapSeed	6	0	1		Gap	500	761	452	3111	3433	4	4	387	200	1.14	0.30	0.51	0.18	132	120	0.168
pa	3333	3000	0.05	0	8	1.0	1.8648	0:00:01	26.79	37.80	20.75	21.19	0.00	0.00	55.24	1.50	3333	3000	3000	0.00	GapSeed	8	0	1		Gap	375	288	272	3161	3518	6	15	265	133	1.17	0.16	0.38	0.07	132	116	0.167
pa	3333	3000	0.05	0	10	1.0	1.6766	0:00:01	26.82	37.82	20.71	21.14	0.00	0.00	60.85	1.51	3333	3000	3000	0.00	GapSeed	10	0	1		Gap	300	198	197	3236	3637	9	49	193	82	1.21	0.12	0.37	0.05	132	111	0.164
pa	3333	3000	0.05	0	12	1.0	1.6477	0:00:01	26.90	37.93	20.75	21.18	0.00	0.00	62.17	1.51	3333	3000	3000	0.00	GapSeed	12	0	1		Gap	250	150	150	3351	3810	11	139	147	53	1.27	0.10	0.38	0.04	132	107	0.162
pa	3333	3000	0.05	0	14	1.0	1.7517	0:00:01	27.33	37.94	20.80	21.26	0.00	0.00	58.24	1.49	3333	3000	3000	0.00	GapSeed	14	0	1		Gap	214	117	117	3538	4079	14	355	114	34	1.36	0.09	0.42	0.03	132	103	0.160
pa	3333	3000	0.05	0	17	1.0	2.2479	0:00:02	27.23	38.20	21.05	21.49	0.00	0.00	68.50	2.01	3333	3000	3000	0.00	GapSeed	17	0	1		Gap	176	84	84	4132	4881	19	1023	82	18	1.63	0.07	0.58	0.03	132	97	0.161
pa	3333	3000	0.05	0	20	1.0	3.7300	0:00:03	27.76	38.80	21.70	22.14	0.00	0.00	81.80	3.53	3333	3000	3000	0.00	GapSeed	20	0	1		Gap	150	62	62	5829	7027	28	2504	61	10	2.34	0.07	1.03	0.02	132	91	0.178
pa	3333	3000	0.1	0	6	1.0	3.1722	0:00:03	26.96	38.07	20.91	21.33	0.00	0.00	80.70	3.04	3333	3000	2999	0.00	GapSeed	6	0	1		Gap	500	679	370	3579	4396	19	301	301	89	1.47	0.26	0.66	0.15	254	209	0.150
pa	3333	3000	0.1	0	8	1.0	3.2619	0:00:03	26.89	38.07	21.02	21.46	0.00	0.00	79.32	3.09	3333	3000	2999	0.00	GapSeed	8	0	1		Gap	375	213	198	4423	5571	34	1473	188	46	1.86	0.14	0.82	0.06	254	194	0.161
pa	3333	3000	0.1	0	10	1.0	6.3570	0:00:06	27.98	38.86	21.74	22.18	0.00	0.00	89.51	6.17	3333	3000	2999	0.00	GapSeed	10	0	1		Gap	300	132	131	7854	9890	67	5550	126	21	3.30	0.10	1.79	0.05	254	180	0.213
pa	3333	3000	0.1	1	7	1.0	11.7265	0:00:11	27.71	39.06	21.66	22.62	0.00	0.00	95.02	11.64	3333	3000	2999	0.00	GapSeed	7	1	1		Gap	428	5396	2461	3243	3882	14	436	376	0	1.29	1.77	1.68	1.31	254	246	0.147
pa	3333	3000	0.1	1	8	1.0	8.4645	0:00:08	27.67	38.61	21.38	21.80	0.00	0.00	90.37	8.13	3333	3000	2999	0.00	GapSeed	8	1	1		Gap	375	2169	1412	3300	3977	18	491	319	0	1.33	1.47	1.00	0.52	254	244	0.148
pa	3333	3000	0.1	1	9	1.0	5.4712	0:00:05	27.23	38.47	21.30	21.79	0.00	0.00	84.08	5.07	3333	3000	2999	0.00	GapSeed	9	1	1		Gap	333	1227	1032	3371	4091	23	568	274	0	1.36	0.95	0.65	0.26	254	241	0.149
pa	3333	3000	0.1	1	10	1.0	6.0226	0:00:06	27.59	38.46	21.32	21.78	0.00	0.00	85.73	5.65	3333	3000	2999	0.00	GapSeed	10	1	1		Gap	300	883	833	3454	4222	28	651	238	0	1.41	1.01	0.76	0.24	254	238	0.150
pa	3333	3000	0.1	1	11	1.0	5.5567	0:00:05	27.82	38.38	21.33	21.91	0.00	0.00	82.78	5.08	3333	3000	2999	0.00	GapSeed	11	1	1		Gap	272	707	693	3563	4388	33	787	208	0	1.46	0.91	0.72	0.20	254	234	0.151
pa	3333	3000	0.1	1	12	1.0	5.3847	0:00:05	27.55	38.47	21.36	21.79	0.00	0.00	85.46	5.09	3333	3000	2999	0.00	GapSeed	12	1	1		Gap	250	593	589	3693	4579	39	925	183	0	1.53	0.85	0.74	0.18	254	231	0.153
pa	3333	3000	0.1	1	13	1.0	4.8817	0:00:04	27.63	38.47	21.33	21.91	0.00	0.00	83.57	4.55	3333	3000	2999	0.00	GapSeed	13	1	1		Gap	230	503	501	3869	4833	46	1152	162	0	1.61	0.75	0.69	0.14	254	228	0.155
pa	3333	3000	0.1	1	14	1.0	5.2923	0:00:05	27.22	38.40	21.26	21.68	0.00	0.00	87.29	5.10	3333	3000	2999	0.00	GapSeed	14	1	1		Gap	214	434	432	4088	5139	54	1397	144	0	1.71	0.76	0.80	0.13	254	224	0.158
pa	3333	3000	0.2	1	7	1.0	16.1882	0:00:16	27.74	38.82	21.72	22.19	0.00	0.00	91.61	15.32	3333	3000	3000	0.00	GapSeed	7	1	1		Gap	428	4941	2006	4405	6036	83	2309	309	0	2.01	2.15	2.63	1.58	471	426	0.153
pa	3333	3000	0.2	1	8	1.0	9.7936	0:00:09	27.60	38.71	21.54	22.01	19.09	0.00	89.03	9.22	3333	3000	3000	0.00	GapSeed	8	1	1		Gap	375	1741	984	5187	7109	117	3371	252	0	2.37	1.23	1.67	0.44	471	414	0.167
pa	3333	3000	0.2	1	9	1.0	9.4344	0:00:09	27.70	38.64	21.47	21.91	0.00	0.00	92.12	9.17	3333	3000	3000	0.00	GapSeed	9	1	1		Gap	333	828	634	6582	8937	165	5315	209	0	2.98	0.93	1.87	0.25	471	401	0.190
pa	3333	3000	0.2	1	10	1.0	11.2338	0:00:11	27.94	38.79	21.71	22.14	0.00	0.00	91.15	10.72	3333	3000	3000	0.00	GapSeed	10	1	1		Gap	300	513	463	9324	12361	249	9115	179	0	4.12	0.78	2.56	0.19	471	388	0.230
pa	3333	3000	0.2	1	11	1.0	17.3839	0:00:17	28.74	39.61	22.50	23.01	0.00	0.00	85.72	15.38	3333	3000	3000	0.00	GapSeed	11	1	1		Gap	272	367	354	16044	20380	434	18165	159	0	6.79	0.75	4.44	0.19	471	375	0.309
pa	1000	10000	0.01	0	6	1.0	6.5044	0:00:06	27.97	38.67	21.56	22.01	19.08	0.00	86.71	6.12	1000	10000	9999	0.00	GapSeed	6	0	1		Gap	1666	5657	2218	10039	10228	0	0	1582	984	1.02	1.72	4.69	3.86	91	89	0.280
pa	1000	10000	0.01	0	8	1.0	1.6956	0:00:01	27.32	38.38	21.22	21.65	0.00	0.00	60.18	1.49	1000	10000	9999	0.00	GapSeed	8	0	1		Gap	1250	1361	1193	10042	10234	0	0	1165	999	1.02	0.70	0.94	0.27	91	89	0.279
pa	1000	10000	0.01	0	10	1.0	1.3729	0:00:01	27.60	38.57	21.43	21.87	0.00	0.00	37.90	1.01	1000	10000	9999	0.00	GapSeed	10	0	1		Gap	1000	929	920	10046	10241	0	0	915	773	1.02	0.49	0.83	0.20	91	88	0.278
pa	1000	10000	0.01	0	12	1.0	1.2303	0:00:01	27.38	38.53	21.39	21.82	0.00	0.00	42.25	1.00	1000	10000	9999	0.00	GapSeed	12	0	1		Gap	833	752	752	10049	10248	1	0	748	613	1.02	0.41	0.76	0.17	91	87	0.278
pa	1000	10000	0.01	0	14	1.0	1.1081	0:00:01	27.50	38.22	21.20	21.65	0.00	0.00	46.93	1.00	1000	10000	9999	0.00	GapSeed	14	0	1		Gap	714	633	633	10053	10255	1	0	630	499	1.03	0.35	0.70	0.15	91	87	0.277
pa	1000	10000	0.01	0	17	1.0	1.0034	0:00:01	27.19	38.16	21.04	21.46	0.00	0.00	0.00	0.48	1000	10000	9999	0.00	GapSeed	17	0	1		Gap	588	507	507	10058	10266	1	0	504	380	1.03	0.31	0.64	0.12	91	86	0.276
pa	1000	10000	0.01	0	20	1.0	0.9674	0:00:00	27.66	38.57	21.43	21.87	0.00	0.00	0.00	0.52	1000	10000	9999	0.00	GapSeed	20	0	1		Gap	500	419	419	10065	10277	2	0	417	299	1.03	0.28	0.63	0.11	91	85	0.275
pa	1000	10000	0.01	0	25	1.0	0.8901	0:00:00	26.92	38.20	20.97	21.39	0.00	0.00	0.00	0.47	1000	10000	9999	0.00	GapSeed	25	0	1		Gap	400	320	320	10076	10299	2	1	319	210	1.03	0.24	0.60	0.11	91	83	0.273
pa	1000	10000	0.01	0	31	1.0	0.7945	0:00:00	27.08	38.07	20.97	21.41	0.00	0.00	0.00	0.49	1000	10000	9999	0.00	GapSeed	31	0	1		Gap	322	244	244	10093	10329	3	3	243	145	1.03	0.21	0.54	0.06	91	82	0.269
pa	1000	10000	0.05	0	6	1.0	5.7256	0:00:05	28.32	39.25	22.03	22.46	19.08	0.00	80.87	5.10	1000	10000	10000	0.00	GapSeed	6	0	1		Gap	1666	5381	1947	10374	11452	14	29	1289	492	1.15	1.58	4.06	2.92	441	400	0.170
pa	1000	10000	0.05	0	8	1.0	1.8871	0:00:01	27.90	38.84	21.71	22.15	0.00	0.00	55.66	1.53	1000	10000	10000	0.00	GapSeed	8	0	1		Gap	1250	1093	925	10543	11737	22	58	883	435	1.17	0.59	1.24	0.24	441	386	0.169
pa	1000	10000	0.05	0	10	1.0	1.6507	0:00:01	27.68	38.79	21.64	22.09	0.00	0.00	61.79	1.50	1000	10000	10000	0.00	GapSeed	10	0	1		Gap	1000	668	660	10806	12153	30	186	644	274	1.22	0.43	1.17	0.17	441	371	0.167
pa	1000	10000	0.05	0	12	1.0	1.6077	0:00:01	27.80	38.80	21.66	22.08	0.00	0.00	63.46	1.50	1000	10000	10000	0.00	GapSeed	12	0	1		Gap	833	501	501	11216	12766	40	551	489	175	1.28	0.33	1.22	0.13	441	357	0.164
pa	1000	10000	0.05	0	14	1.0	1.6976	0:00:01	28.18	38.94	21.76	22.21	0.00	0.00	60.67	1.52	1000	10000	10000	0.00	GapSeed	14	0	1		Gap	714	392	392	11903	13744	49	1605	383	114	1.37	0.28	1.37	0.11	441	343	0.163
pa	1000	10000	0.05	0	17	1.0	2.4412	0:00:02	28.82	39.68	22.54	22.97	0.00	0.00	62.25	2.00	1000	10000	10000	0.00	GapSeed	17	0	1		Gap	588	281	281	14321	16954	69	5723	274	62	1.70	0.24	2.16	0.08	441	324	0.167
pa	1000	10000	0.05	0	20	1.0	5.1752	0:00:05	30.78	41.79	24.63	25.05	0.00	0.00	79.21	4.59	1000	10000	10000	0.00	GapSeed	20	0	1		Gap	500	209	208	23971	28783	117	18649	204	34	2.88	0.21	4.91	0.10	441	305	0.201
pa	1000	10000	0.1	0	6	1.0	6.0090	0:00:06	28.50	39.52	22.38	22.80	0.00	0.00	85.55	5.60	1000	10000	10001	0.00	GapSeed	6	0	1		Gap	1666	5113	1674	11950	14684	66	2229	1004	205	1.47	1.53	4.39	2.46	848	698	0.152
pa	1000	10000	0.1	0	8	1.0	3.6542	0:00:03	28.34	39.54	22.38	22.80	0.00	0.00	69.54	3.04	1000	10000	10001	0.00	GapSeed	8	0	1		Gap	1250	846	678	14933	18816	115	7030	629	152	1.88	0.51	3.08	0.23	848	647	0.165
pa	1000	10000	0.1	0	10	1.0	7.8548	0:00:07	30.09	41.04	23.93	24.37	0.00	0.00	89.76	7.52	1000	10000	10001	0.00	GapSeed	10	0	1		Gap	1000	447	439	29008	36277	247	31421	421	72	3.63	0.33	7.46	0.23	848	599	0.229
pa	1000	10000	0.1	1	8	1.0	14.6988	0:00:14	30.63	41.80	24.51	25.00	0.00	0.00	92.94	14.15	1000	10000	10001	0.00	GapSeed	8	1	1		Gap	1250	14845	6426	11005	13266	64	2129	1066	0	1.33	8.04	6.32	4.43	848	812	0.149
pa	1000	10000	0.1	1	9	1.0	8.4560	0:00:08	30.34	41.26	24.25	24.74	0.00	0.00	90.60	8.16	1000	10000	10001	0.00	GapSeed	9	1	1		Gap	1111	5986	3829	11239	13643	79	2544	916	0	1.36	5.08	3.19	1.45	848	802	0.150
pa	1000	10000	0.1	1	10	1.0	7.2180	0:00:07	30.41	41.17	24.03	24.47	0.00	0.00	85.89	6.66	1000	10000	10001	0.00	GapSeed	10	1	1		Gap	1000	3417	2868	11526	14092	96	3099	795	0	1.41	4.30	2.76	0.93	848	792	0.151
pa	1000	10000	0.1	1	11	1.0	6.6259	0:00:06	30.59	41.48	24.34	24.83	0.00	0.00	84.97	6.04	1000	10000	10001	0.00	GapSeed	11	1	1		Gap	909	2483	2342	11889	14643	113	3770	696	0	1.46	3.78	2.71	0.72	848	782	0.153
pa	1000	10000	0.1	1	12	1.0	5.8245	0:00:05	30.51	41.48	24.36	24.79	0.00	0.00	88.24	5.62	1000	10000	10001	0.00	GapSeed	12	1	1		Gap	833	2008	1972	12343	15312	133	4552	613	0	1.53	3.28	2.43	0.57	848	770	0.155
pa	1000	10000	0.1	1	13	1.0	6.4571	0:00:06	30.24	41.31	24.17	24.65	0.00	0.00	86.88	6.09	1000	10000	10001	0.00	GapSeed	13	1	1		Gap	769	1693	1683	12933	16158	155	5512	543	0	1.62	3.48	2.86	0.53	848	759	0.157
pa	1000	10000	0.1	1	14	1.0	5.9721	0:00:05	30.29	41.26	24.12	24.55	0.00	0.00	86.08	5.62	1000	10000	10001	0.00	GapSeed	14	1	1		Gap	714	1452	1449	13716	17252	183	6816	483	0	1.72	3.07	2.81	0.44	848	747	0.160
pa	1000	10000	0.2	1	8	1.0	16.0989	0:00:16	32.24	43.16	26.11	26.58	19.08	0.00	92.35	15.35	1000	10000	10000	0.00	GapSeed	8	1	1		Gap	1250	13414	4999	17347	23775	390	15566	842	0	2.38	6.81	9.04	4.39	1570	1379	0.170
pa	1000	10000	0.2	1	9	1.0	11.5393	0:00:11	31.15	42.43	25.16	25.59	0.00	0.00	92.63	11.18	1000	10000	10000	0.00	GapSeed	9	1	1		Gap	1111	4657	2499	22066	29941	556	24998	701	0	2.99	4.13	7.28	1.27	1570	1338	0.193
pa	1000	10000	0.2	1	10	1.0	13.3900	0:00:13	31.89	42.52	25.50	25.98	0.00	0.00	91.94	12.79	1000	10000	10000	0.00	GapSeed	10	1	1		Gap	1000	2181	1632	31818	42073	850	45230	600	0	4.21	3.36	9.93	0.79	1570	1295	0.236
pa	1000	10000	0.2	1	11	1.0	21.4959	0:00:21	32.23	43.21	26.11	26.58	0.00	0.00	69.59	15.42	1000	10000	10000	0.00	GapSeed	11	1	1		Gap	909	1346	1206	57554	72545	1574	101126	538	0	7.25	3.06	18.36	0.79	1570	1252	0.327
pa	333	30000	0.01	0	6	1.0	43.3155	0:00:43	32.64	44.30	26.64	27.07	0.00	0.00	34.81	15.57	333	30000	29999	0.00	GapSeed	6	0	1		Gap	5000	41371	10428	30118	30683	1	0	4748	1637	1.02	10.86	118.63	115.57	273	267	0.281
pa	333	30000	0.01	0	8	1.0	2.1262	0:00:02	29.77	40.59	23.46	23.88	19.06	0.00	71.97	2.00	333	30000	29999	0.00	GapSeed	8	0	1		Gap	3750	5234	3716	30127	30702	2	0	3497	2884	1.02	2.51	3.65	1.41	273	266	0.281
pa	333	30000	0.01	0	10	1.0	1.5362	0:00:01	29.48	40.57	23.43	23.85	0.00	0.00	33.90	1.01	333	30000	29999	0.00	GapSeed	10	0	1		Gap	3000	2845	2767	30137	30722	3	0	2746	2317	1.02	1.78	2.65	0.66	273	264	0.280
pa	333	30000	0.01	0	12	1.0	1.3540	0:00:01	30.28	41.20	24.06	24.50	0.00	0.00	37.81	0.99	333	30000	29999	0.00	GapSeed	12	0	1		Gap	2500	2262	2258	30146	30742	3	0	2247	1840	1.02	1.38	2.52	0.58	273	262	0.279
pa	333	30000	0.01	0	14	1.0	1.2525	0:00:01	29.93	41.00	23.86	24.28	0.00	0.00	40.76	1.00	333	30000	29999	0.00	GapSeed	14	0	1		Gap	2142	1899	1899	30157	30764	4	0	1891	1499	1.03	1.27	2.31	0.47	273	260	0.279
pa	333	30000	0.01	0	17	1.0	1.0836	0:00:01	29.71	40.73	23.65	24.09	0.00	0.00	48.61	1.01	333	30000	29999	0.00	GapSeed	17	0	1		Gap	1764	1521	1521	30175	30798	6	1	1514	1143	1.03	0.98	2.08	0.37	273	257	0.278
pa	333	30000	0.01	0	20	1.0	1.0268	0:00:01	29.73	40.61	23.48	23.90	0.00	0.00	0.00	0.50	333	30000	29999	0.00	GapSeed	20	0	1		Gap	1500	1259	1259	30194	30834	7	1	1253	900	1.03	0.95	1.97	0.31	273	254	0.277
pa	333	30000	0.01	0	25	1.0	0.8996	0:00:00	29.25	40.50	23.36	23.78	0.00	0.00	0.00	0.49	333	30000	29999	0.00	GapSeed	25	0	1		Gap	1200	962	962	30229	30898	8	5	957	633	1.03	0.78	1.76	0.24	273	250	0.274
pa	333	30000	0.01	0	31	1.0	0.8253	0:00:00	29.29	40.29	23.14	23.59	0.00	0.00	0.00	0.49	333	30000	29999	0.00	GapSeed	31	0	1		Gap	967	733	733	30284	30995	11	12	730	436	1.03	0.67	1.66	0.19	273	244	0.270
pa	333	30000	0.05	0	6	1.0	33.6544	0:00:33	33.88	45.42	27.73	28.17	19.06	0.00	44.19	15.36	333	30000	30001	0.00	GapSeed	6	0	1		Gap	5000	40563	9619	31117	34352	44	524	3870	756	1.15	10.66	89.79	85.58	1323	1201	0.171
pa	333	30000	0.05	0	8	1.0	2.2022	0:00:02	31.18	42.29	25.15	25.57	0.00	0.00	70.77	2.04	333	30000	30001	0.00	GapSeed	8	0	1		Gap	3750	4425	2910	31633	35222	67	198	2649	1241	1.17	2.22	4.20	0.95	1323	1157	0.169
pa	333	30000	0.05	0	10	1.0	1.9494	0:00:01	30.96	42.10	24.95	25.38	0.00	0.00	53.37	1.52	333	30000	30001	0.00	GapSeed	10	0	1		Gap	3000	2062	1985	32409	36452	89	583	1934	822	1.22	1.55	4.12	0.59	1323	1113	0.167
pa	333	30000	0.05	0	12	1.0	1.7221	0:00:01	31.67	42.50	25.36	25.78	0.00	0.00	60.36	1.52	333	30000	30001	0.00	GapSeed	12	0	1		Gap	2500	1508	1504	33665	38333	117	1771	1470	527	1.28	1.10	3.89	0.41	1323	1070	0.165
pa	333	30000	0.05	0	14	1.0	1.8389	0:00:01	31.25	42.34	25.20	25.63	0.00	0.00	56.54	1.52	333	30000	30001	0.00	GapSeed	14	0	1		Gap	2142	1176	1175	35811	41380	145	5617	1149	345	1.38	0.94	4.41	0.34	1323	1029	0.163
pa	333	30000	0.05	0	17	1.0	2.7456	0:00:02	33.16	44.15	27.02	27.46	0.00	0.00	75.75	2.57	333	30000	30001	0.00	GapSeed	17	0	1		Gap	1764	845	845	43555	51609	209	23474	826	188	1.72	0.78	7.30	0.30	1323	969	0.168
pa	333	30000	0.05	0	20	1.0	7.1660	0:00:07	36.43	47.24	30.21	30.65	0.00	0.00	86.52	6.69	333	30000	30001	0.00	GapSeed	20	0	1		Gap	1500	627	627	79459	95213	388	90797	613	104	3.17	0.73	20.60	0.35	1323	913	0.212
pa	333	30000	0.1	0	6	1.0	27.5172	0:00:27	35.14	46.71	29.00	29.42	0.00	0.00	53.93	15.31	333	30000	30002	0.00	GapSeed	6	0	1		Gap	5000	39781	8816	35893	44110	201	16210	3014	286	1.47	10.01	72.01	63.84	2543	2093	0.152
pa	333	30000	0.1	0	8	1.0	3.8212	0:00:03	32.75	43.68	26.66	27.08	0.00	0.00	80.61	3.57	333	30000	30002	0.00	GapSeed	8	0	1		Gap	3750	3682	2170	44934	56628	349	27724	1888	425	1.89	1.79	9.49	0.87	2543	1939	0.165
pa	333	30000	0.1	0	10	1.0	8.9792	0:00:08	35.91	46.91	29.65	30.09	0.00	0.00	92.55	8.79	333	30000	30002	0.00	GapSeed	10	0	1		Gap	3000	1398	1321	88981	111170	761	127706	1263	216	3.71	1.21	25.58	0.70	2543	1798	0.232
pa	333	30000	0.1	1	9	1.0	12.8014	0:00:12	38.63	49.45	32.32	32.79	0.00	0.00	92.45	12.32	333	30000	30002	0.00	GapSeed	9	1	1		Gap	3333	34181	14777	33714	40931	235	10216	2749	0	1.36	22.04	15.50	9.26	2543	2407	0.150
pa	333	30000	0.1	1	10	1.0	8.7558	0:00:08	36.69	47.61	30.47	30.91	0.00	0.00	87.60	8.16	333	30000	30002	0.00	GapSeed	10	1	1		Gap	3000	14283	9340	34589	42293	286	12096	2387	0	1.41	15.71	10.05	3.77	2543	2377	0.152
pa	333	30000	0.1	1	11	1.0	7.4278	0:00:07	37.35	48.14	31.12	31.58	0.00	0.00	90.21	7.17	333	30000	30002	0.00	GapSeed	11	1	1		Gap	2727	8453	7197	35670	43933	339	14296	2089	0	1.46	13.24	8.63	2.36	2543	2345	0.153
pa	333	30000	0.1	1	12	1.0	6.9967	0:00:06	36.48	47.28	30.14	30.65	0.00	0.00	88.75	6.69	333	30000	30002	0.00	GapSeed	12	1	1		Gap	2500	6281	5962	37063	45986	404	17309	1840	0	1.53	12.00	8.63	1.93	2543	2312	0.155
pa	333	30000	0.1	1	13	1.0	6.9265	0:00:06	36.88	48.03	30.89	31.32	0.00	0.00	89.09	6.66	333	30000	30002	0.00	GapSeed	13	1	1		Gap	2307	5146	5064	38844	48535	468	21262	1630	0	1.62	11.39	9.08	1.68	2543	2277	0.157
pa	333	30000	0.1	1	14	1.0	7.8247	0:00:07	36.14	46.98	29.93	30.42	0.00	0.00	83.41	7.02	333	30000	30002	0.00	GapSeed	14	1	1		Gap	2142	4374	4353	41204	51830	539	26433	1451	0	1.73	12.37	10.80	1.61	2543	2241	0.160
pa	333	30000	0.2	1	9	1.0	16.8339	0:00:16	39.71	51.03	33.50	33.93	19.06	0.00	89.76	15.59	333	30000	30001	0.00	GapSeed	9	1	1		Gap	3333	30163	10759	66590	90332	1687	95357	2104	0	3.01	18.76	31.02	9.87	4711	4012	0.194
pa	333	30000	0.2	1	10	1.0	16.4857	0:00:16	39.46	50.29	33.26	33.67	0.00	0.00	91.24	15.53	333	30000	30001	0.00	GapSeed	10	1	1		Gap	3000	10568	5640	96815	127883	2606	176995	1805	0	4.26	12.60	36.50	3.47	4711	3884	0.238
pa	333	30000	0.2	1	11	1.0	27.4921	0:00:27	40.17	51.04	33.93	34.38	0.00	0.00	54.02	15.33	333	30000	30001	0.00	GapSeed	11	1	1		Gap	2727	5050	3793	177989	223770	4881	416874	1623	0	7.46	10.99	71.26	2.74	4711	3754	0.332
pa	100	100000	0.01	0	8	1.0	4.5920	0:00:04	38.95	50.56	32.71	33.14	19.07	0.00	77.74	4.05	100	100000	100001	0.00	GapSeed	8	0	1		Gap	12500	30804	13965	100423	102346	8	0	11658	8447	1.02	12.16	33.01	25.09	908	885	0.217
pa	100	100000	0.01	0	10	1.0	1.6818	0:00:01	37.61	48.80	31.35	31.78	0.00	0.00	60.66	1.50	100	100000	100001	0.00	GapSeed	10	0	1		Gap	10000	10155	9288	100457	102415	11	0	9157	7675	1.02	6.79	9.49	2.46	908	878	0.216
pa	100	100000	0.01	0	12	1.0	1.4321	0:00:01	38.34	49.16	32.03	32.48	0.00	0.00	35.58	0.99	100	100000	100001	0.00	GapSeed	12	0	1		Gap	8333	7576	7530	100491	102481	13	0	7492	6136	1.02	5.04	8.77	2.07	908	872	0.216
pa	100	100000	0.01	0	14	1.0	1.2667	0:00:01	36.51	47.62	30.15	30.58	0.00	0.00	41.06	1.00	100	100000	100001	0.00	GapSeed	14	0	1		Gap	7142	6336	6333	100522	102546	13	1	6304	5001	1.03	4.11	8.04	1.72	908	866	0.215
pa	100	100000	0.01	0	17	1.0	1.1212	0:00:01	36.57	47.58	30.12	30.56	0.00	0.00	46.38	1.01	100	100000	100001	0.00	GapSeed	17	0	1		Gap	5882	5075	5075	100584	102663	20	3	5053	3815	1.03	3.49	7.19	1.27	908	856	0.215
pa	100	100000	0.01	0	20	1.0	1.0629	0:00:01	36.80	47.66	30.53	30.97	0.00	0.00	47.07	0.98	100	100000	100001	0.00	GapSeed	20	0	1		Gap	5000	4198	4198	100641	102774	20	6	4178	3003	1.03	3.21	6.91	1.07	908	846	0.214
pa	100	100000	0.01	0	25	1.0	0.9710	0:00:00	37.65	48.68	31.55	31.99	0.00	0.00	0.00	0.48	100	100000	100001	0.00	GapSeed	25	0	1		Gap	4000	3209	3209	100767	103004	29	17	3193	2112	1.03	2.69	6.51	0.83	908	831	0.212
pa	100	100000	0.01	0	31	1.0	0.9335	0:00:00	35.52	47.05	29.59	30.03	0.00	0.00	0.00	0.48	100	100000	100001	0.00	GapSeed	31	0	1		Gap	3225	2449	2448	100955	103331	44	45	2437	1457	1.03	2.50	6.33	0.68	908	812	0.209
pa	100	100000	0.05	0	8	1.0	3.5308	0:00:03	44.39	56.17	38.34	38.78	19.08	0.00	71.93	3.03	100	100000	100005	0.00	GapSeed	8	0	1		Gap	12500	28086	11288	105479	117449	223	891	8839	3505	1.17	10.82	23.68	11.64	4403	3848	0.131
pa	100	100000	0.05	0	10	1.0	1.9484	0:00:01	43.09	54.85	37.01	37.44	0.00	0.00	52.44	1.52	100	100000	100005	0.00	GapSeed	10	0	1		Gap	10000	7547	6691	108132	121637	297	1994	6454	2721	1.22	5.26	13.68	2.06	4403	3702	0.130
pa	100	100000	0.05	0	12	1.0	1.8521	0:00:01	43.54	55.29	37.46	37.90	0.00	0.00	56.27	1.53	100	100000	100005	0.00	GapSeed	12	0	1		Gap	8333	5069	5024	112300	127876	390	6088	4910	1766	1.28	3.94	13.88	1.65	4403	3561	0.129
pa	100	100000	0.05	0	14	1.0	1.9424	0:00:01	44.18	55.89	38.04	38.49	0.00	0.00	53.55	1.50	100	100000	100005	0.00	GapSeed	14	0	1		Gap	7142	3933	3930	119450	138012	489	19907	3840	1156	1.38	3.48	15.41	1.29	4403	3425	0.128
pa	100	100000	0.05	0	17	1.0	3.0271	0:00:03	46.55	58.25	40.40	40.85	0.00	0.00	67.60	2.54	100	100000	100005	0.00	GapSeed	17	0	1		Gap	5882	2824	2824	145294	172133	703	98457	2760	628	1.72	2.67	27.08	1.08	4403	3226	0.134
pa	100	100000	0.05	0	20	1.0	7.9582	0:00:07	57.09	69.49	51.23	51.66	0.00	0.00	89.22	7.57	100	100000	100005	0.00	GapSeed	20	0	1		Gap	5000	2092	2092	280710	335389	1366	423941	2047	349	3.35	2.31	76.65	1.14	4403	3041	0.185
pa	100	100000	0.1	0	8	1.0	5.5669	0:00:05	52.17	63.88	46.05	46.48	0.00	0.00	81.74	5.05	100	100000	100002	0.00	GapSeed	8	0	1		Gap	12500	25637	8809	150048	189112	1148	130739	6294	1120	1.89	9.59	45.24	9.50	8482	6467	0.130
