alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	precom	align	prune	ed	h0	h0end
cp-csh	synthetic	100	10000	0.1	1	13	0.6566	0:00:00	9.97	20.66	3.47	4.12	0.00	0.00	0.00	0.48	ok	100	10000	9999	0.00	GapSeed	13	1	1	0	Zero	769	1693	1693	16598	20926	121	57	896	1031	200	2.09	3.14	3.23	0.67	847	731	1473
cp-sh	synthetic	100	10000	0.1	1	13	0.7609	0:00:00	8.78	19.49	2.28	2.92	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	Unordered	13	1	1	0	Zero	762	556	556	21459	26691	142	71	26202	541	0	2.67	2.46	4.98	0.00	847	412	1494
cp-csh+gap	synthetic	100	10000	0.1	1	14	0.6251	0:00:00	9.71	20.66	3.48	4.08	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	GapSeed	14	1	1	0	Gap	714	1445	1442	15046	18481	118	32	4053	894	47	1.85	3.14	2.93	0.58	847	749	1376
cp-csh	synthetic	100	10000	0.1	1	14	0.6333	0:00:00	9.86	20.61	3.38	4.01	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	GapSeed	14	1	1	0	Zero	714	1445	1445	17820	22346	129	63	1275	894	172	2.23	3.07	3.07	0.56	847	724	1373
cp-sh	synthetic	100	10000	0.1	1	14	0.7939	0:00:00	9.14	20.24	2.94	3.58	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	Unordered	14	1	1	0	Zero	712	494	494	22860	28283	153	80	28161	482	0	2.83	2.43	5.33	0.00	847	436	1401
cp-csh+gap	synthetic	100	10000	0.1	1	15	0.6699	0:00:00	10.07	20.66	3.49	4.11	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	GapSeed	15	1	1	0	Gap	666	1253	1251	16829	20599	132	39	6335	781	35	2.06	2.95	3.57	0.57	847	736	1287
cp-csh	synthetic	100	10000	0.1	1	15	0.6636	0:00:00	9.70	20.65	3.43	4.04	0.00	0.00	0.00	0.48	ok	100	10000	9999	0.00	GapSeed	15	1	1	0	Zero	666	1253	1253	19665	24454	144	73	1888	781	147	2.45	2.93	3.53	0.55	847	713	1284
cp-sh	synthetic	100	10000	0.1	1	15	0.8540	0:00:00	9.22	19.77	2.54	3.16	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	Unordered	15	1	1	0	Zero	665	439	439	24921	30591	167	90	31119	428	0	3.06	2.59	5.77	0.00	847	452	1310
cp-csh+gap	synthetic	100	10000	0.1	1	16	0.6831	0:00:00	9.96	20.62	3.45	4.09	0.00	0.00	0.00	0.52	ok	100	10000	9999	0.00	GapSeed	16	1	1	0	Gap	625	1086	1085	19094	23244	141	49	8742	685	27	2.32	2.75	3.89	0.49	847	724	1211
cp-csh	synthetic	100	10000	0.1	1	16	0.6717	0:00:00	9.67	20.75	3.50	4.11	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	GapSeed	16	1	1	0	Zero	625	1086	1086	21912	27004	149	85	2949	685	126	2.70	2.90	3.64	0.47	847	704	1209
cp-sh	synthetic	100	10000	0.1	1	16	0.9456	0:00:00	9.50	20.23	2.93	3.56	0.00	0.00	0.00	0.48	ok	100	10000	9999	0.00	Unordered	16	1	1	0	Zero	624	393	393	28094	34121	173	106	35509	383	0	3.41	2.35	6.93	0.00	847	463	1229
cp-csh+gap	synthetic	100	10000	0.1	1	17	0.7907	0:00:00	10.01	20.77	3.45	4.08	0.00	0.00	0.00	0.48	ok	100	10000	9999	0.00	GapSeed	17	1	1	0	Gap	588	948	947	22242	26843	165	61	11901	602	21	2.68	2.93	4.79	0.45	847	712	1143
cp-csh	synthetic	100	10000	0.1	1	17	0.7338	0:00:00	9.86	20.77	3.45	4.09	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	GapSeed	17	1	1	0	Zero	588	948	948	25140	30612	174	100	4623	602	109	3.06	2.92	4.24	0.42	847	693	1142
cp-sh	synthetic	100	10000	0.1	1	17	1.0005	0:00:01	9.39	20.24	3.00	3.62	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	Unordered	17	1	1	0	Zero	587	350	350	31986	38400	198	124	40654	341	0	3.84	2.32	7.50	0.00	847	475	1158
cp-csh+gap	synthetic	100	10000	0.1	1	18	0.8483	0:00:00	9.86	20.72	3.48	4.10	0.00	0.00	0.00	0.50	ok	100	10000	9999	0.00	GapSeed	18	1	1	0	Gap	555	829	828	27096	32323	185	83	16593	531	16	3.23	2.65	5.66	0.41	847	698	1081
cp-csh	synthetic	100	10000	0.1	1	18	0.8063	0:00:00	9.73	20.62	3.39	4.00	0.00	0.00	0.00	0.48	ok	100	10000	9999	0.00	GapSeed	18	1	1	0	Zero	555	829	829	29854	35823	197	121	7739	531	94	3.58	2.67	5.21	0.39	847	682	1080
cp-sh	synthetic	100	10000	0.1	1	18	1.1484	0:00:01	8.61	19.84	2.64	3.27	0.00	0.00	44.42	1.00	ok	100	10000	9999	0.00	Unordered	18	1	1	0	Zero	555	314	314	37536	44462	226	149	48826	305	0	4.45	2.32	8.99	0.00	847	481	1092
cp-csh+gap	synthetic	100	10000	0.2	1	11	2.6527	0:00:02	13.12	24.09	6.79	7.40	0.00	0.00	74.99	2.47	ok	100	10000	10001	0.00	GapSeed	11	1	1	0	Gap	909	1349	1209	66158	78328	278	533	79053	743	11	7.83	3.39	22.93	1.05	1571	1252	1762
cp-csh	synthetic	100	10000	0.2	1	11	2.7399	0:00:02	10.72	21.52	4.32	4.94	0.00	0.00	75.90	2.57	ok	100	10000	10001	0.00	GapSeed	11	1	1	0	Zero	909	1349	1349	72991	86186	296	691	74387	745	73	8.62	3.28	23.85	1.39	1571	1214	1756
cp-sh	synthetic	100	10000	0.2	1	11	10.0189	0:00:10	50.08	60.66	43.43	44.07	0.00	0.00	88.62	9.35	timeout 10s	100	10000	9997	0.00	Unordered	11	1	1	0	Zero	840	455	455	1019361	1057938	1636	10038	1059723	379	0	105.79	5.41	943.37	0.00	1571	770	1529
cp-csh+gap	synthetic	100	10000	0.2	1	12	6.6408	0:00:06	29.01	39.80	22.57	23.18	0.00	0.00	84.02	6.07	ok	100	10000	10001	0.00	GapSeed	12	1	1	0	Gap	833	971	934	167395	185602	507	1510	216396	613	7	18.56	3.25	62.88	1.28	1571	1209	1636
cp-csh	synthetic	100	10000	0.2	1	12	6.7541	0:00:06	18.93	29.75	12.45	13.07	0.00	0.00	81.58	5.99	ok	100	10000	10001	0.00	GapSeed	12	1	1	0	Zero	833	971	971	177576	196425	540	1719	191446	615	68	19.64	3.30	63.92	1.40	1571	1179	1633
cp-sh	synthetic	100	10000	0.2	1	12	10.0192	0:00:10	49.57	60.72	43.44	44.07	0.00	0.00	91.21	9.63	timeout 10s	100	10000	9997	0.00	Unordered	12	1	1	0	Zero	817	381	381	631052	662408	988	6382	800080	345	0	66.24	5.49	575.60	0.00	1571	873	1563
cp-csh+gap	synthetic	10	100000	0.01	0	7	6.3950	0:00:06	14.65	26.36	8.54	9.15	0.00	0.00	87.88	6.10	ok	10	100000	99981	0.00	GapSeed	7	0	1	0	Gap	14285	25249	25158	100400	102318	9944	0	0	13442	5668	1.02	19.52	616.00	610.51	912	891	14128
cp-csh	synthetic	10	100000	0.01	0	7	10.0165	0:00:10	27.40	38.87	20.78	21.39	0.00	0.00	91.55	9.67	timeout 10s
cp-sh	synthetic	10	100000	0.01	0	7	10.0868	0:00:10	701.86	1049.34	695.33	695.91	0.00	0.00	87.53	0.00	timeout 10s
cp-csh+gap	synthetic	10	100000	0.01	0	8	0.5205	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	8	0	1	0	Gap	12500	13977	13957	100422	102355	9944	0	0	11655	8433	1.02	10.23	39.71	34.63	912	890	12418
cp-csh	synthetic	10	100000	0.01	0	8	10.0217	0:00:10	16.91	27.68	10.37	11.00	0.00	0.00	92.98	9.84	timeout 10s	10	100000	99996	0.00	GapSeed	8	0	1	0	Gap	12500	30791	30791	101678	104972	9971	0	43	11656	3667	1.05	55.48	2677.03	2663.27	910	817	12232
cp-sh	synthetic	10	100000	0.01	0	8	0.1290	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	Unordered	8	0	1	0	Zero	2990	2815	2815	112267	116665	10777	0	19892	2553	0	1.17	4.01	5.65	0.00	912	175	2728
cp-csh+gap	synthetic	10	100000	0.01	0	9	0.1910	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	9	0	1	0	Gap	11111	10757	10753	100446	102394	9944	0	0	10261	8444	1.02	8.61	8.54	3.78	912	885	11056
cp-csh	synthetic	10	100000	0.01	0	9	1.0683	0:00:01	13.13	25.18	6.68	7.29	0.00	0.00	47.75	0.99	ok	10	100000	99981	0.00	GapSeed	9	0	1	0	Zero	11111	14538	14538	101725	105050	9981	0	5	10261	7045	1.05	10.44	93.01	86.58	912	826	10982
cp-sh	synthetic	10	100000	0.01	0	9	0.1196	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	Unordered	9	0	1	0	Zero	7802	7260	7260	102286	105841	10002	0	7352	7010	0	1.06	4.33	5.86	0.00	912	542	7553
cp-csh+gap	synthetic	10	100000	0.01	0	10	0.1618	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	10	0	1	0	Gap	10000	9286	9285	100470	102438	9946	0	0	9153	7664	1.02	7.69	6.61	2.13	912	881	9954
cp-csh	synthetic	10	100000	0.01	0	10	0.2228	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	10	0	1	0	Zero	10000	10142	10142	101781	105135	9982	0	1	9153	8164	1.05	7.62	12.57	7.53	912	824	9928
cp-sh	synthetic	10	100000	0.01	0	10	0.1008	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	Unordered	10	0	1	0	Zero	9170	8442	8442	101990	105469	9988	0	5497	8330	0	1.05	4.10	4.23	0.00	912	728	9058
cp-csh+gap	synthetic	10	100000	0.01	0	11	0.1554	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	11	0	1	0	Gap	9090	8298	8298	100485	102469	9945	0	0	8241	6842	1.02	7.34	6.23	1.85	912	881	9053
cp-csh	synthetic	10	100000	0.01	0	11	0.1549	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	11	0	1	0	Zero	9090	8499	8499	101796	105160	9980	0	0	8241	7885	1.05	6.58	6.89	2.19	912	828	9043
cp-sh	synthetic	10	100000	0.01	0	11	0.1084	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	Unordered	11	0	1	0	Zero	8890	8097	8097	101919	105374	9985	0	4433	8043	0	1.05	4.99	4.03	0.00	912	793	8836
cp-csh+gap	synthetic	10	100000	0.01	0	12	0.1414	0:00:00	2.97	7.38	0.36	0.49	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	12	0	1	0	Gap	8333	7525	7525	100511	102510	9946	0	1	7486	6125	1.03	6.63	6.00	1.65	912	877	8297
cp-csh	synthetic	10	100000	0.01	0	12	0.1384	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	12	0	1	0	Zero	8333	7569	7569	101853	105240	9987	0	1	7486	7302	1.05	5.76	6.20	1.65	912	827	8295
cp-sh	synthetic	10	100000	0.01	0	12	0.0953	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	Unordered	12	0	1	0	Zero	8290	7483	7483	101970	105444	9989	0	4302	7443	0	1.05	3.82	3.99	0.00	912	806	8250
cp-csh+gap	synthetic	10	100000	0.01	0	13	0.1501	0:00:00	1.49	7.25	0.29	0.41	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	13	0	1	0	Gap	7692	6881	6881	100521	102536	9946	0	1	6849	5506	1.03	5.73	7.36	2.95	912	872	7661
cp-csh	synthetic	10	100000	0.01	0	13	0.1414	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	13	0	1	0	Zero	7692	6892	6892	101882	105286	9982	0	2	6849	6711	1.05	4.90	6.20	1.59	912	825	7660
cp-sh	synthetic	10	100000	0.01	0	13	0.1072	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	Unordered	13	0	1	0	Zero	7681	6871	6871	101995	105482	9988	0	4341	6839	0	1.05	3.79	5.10	0.00	912	810	7649
cp-csh+gap	synthetic	10	100000	0.01	0	14	0.1322	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	14	0	1	0	Gap	7142	6334	6334	100553	102592	9947	0	2	6301	4989	1.03	5.54	5.78	1.44	912	868	7110
cp-csh	synthetic	10	100000	0.01	0	14	0.1478	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	14	0	1	0	Zero	7142	6336	6336	101917	105344	9987	0	0	6302	6182	1.05	7.08	5.86	1.39	912	824	7110
cp-sh	synthetic	10	100000	0.01	0	14	0.0961	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	Unordered	14	0	1	0	Zero	7139	6332	6332	102012	105511	9990	0	4489	6300	0	1.06	3.86	4.01	0.00	912	808	7108
cp-csh+gap	synthetic	10	100000	0.01	0	15	0.1346	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	15	0	1	0	Gap	6666	5855	5855	100588	102642	9949	0	3	5827	4537	1.03	5.49	6.09	1.47	912	867	6639
cp-csh	synthetic	10	100000	0.01	0	15	0.1304	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	15	0	1	0	Zero	6666	5855	5855	101981	105425	9993	0	0	5828	5717	1.05	5.51	5.74	1.28	912	824	6639
cp-sh	synthetic	10	100000	0.01	0	15	0.0942	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	Unordered	15	0	1	0	Zero	6665	5854	5854	102076	105589	9998	0	4514	5827	0	1.06	3.71	3.99	0.00	912	811	6638
cp-csh+gap	synthetic	10	100000	0.01	0	16	0.1287	0:00:00	1.49	4.20	0.21	0.35	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	16	0	1	0	Gap	6250	5438	5438	100620	102693	9952	0	3	5413	4144	1.03	5.53	5.66	1.23	912	864	6225
cp-csh	synthetic	10	100000	0.01	0	16	0.1253	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	16	0	1	0	Zero	6250	5438	5438	102057	105534	9998	0	0	5413	5315	1.06	4.86	5.70	1.18	912	823	6224
cp-sh	synthetic	10	100000	0.01	0	16	0.1068	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	Unordered	16	0	1	0	Zero	6250	5438	5438	102136	105669	9998	0	4577	5412	0	1.06	3.72	3.99	0.00	912	811	6224
cp-csh+gap	synthetic	10	100000	0.01	0	17	0.1287	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	17	0	1	0	Gap	5882	5071	5071	100649	102746	9951	0	5	5049	3804	1.03	5.44	5.60	1.16	912	860	5860
cp-csh	synthetic	10	100000	0.01	0	17	0.1164	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	17	0	1	0	Zero	5882	5071	5071	102093	105582	9995	0	1	5049	4955	1.06	4.37	5.45	1.07	912	821	5860
cp-sh	synthetic	10	100000	0.01	0	17	0.1096	0:00:00	3.17	7.38	0.07	0.46	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	Unordered	17	0	1	0	Zero	5882	5071	5071	102191	105741	9998	0	4719	5049	0	1.06	3.80	4.07	0.00	912	810	5860
cp-csh+gap	synthetic	10	100000	0.01	0	31	0.1136	0:00:00	0.01	1.34	0.03	0.03	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	31	0	1	0	Gap	3225	2445	2445	101656	104074	10001	0	57	2433	1443	1.04	3.70	4.34	0.59	912	815	3214
cp-csh	synthetic	10	100000	0.01	0	31	0.1171	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	GapSeed	31	0	1	0	Zero	3225	2445	2445	103316	107065	10062	0	5	2434	2391	1.07	4.07	5.70	0.61	912	784	3214
cp-sh	synthetic	10	100000	0.01	0	31	0.0993	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99981	0.00	Unordered	31	0	1	0	Zero	3225	2445	2445	103525	107330	10099	0	6805	2434	0	1.07	3.46	4.70	0.00	912	780	3214
cp-csh+gap	synthetic	10	100000	0.05	0	7	3.6418	0:00:03	15.71	26.92	9.20	9.82	0.00	0.00	71.11	3.06	ok	10	100000	99999	0.00	GapSeed	7	0	1	0	Gap	14285	22648	22554	105358	116838	9839	0	2253	10591	2370	1.17	17.68	342.83	331.56	4403	3914	14024
cp-csh	synthetic	10	100000	0.05	0	7	10.0170	0:00:10	28.03	39.82	21.54	22.15	0.00	0.00	92.84	9.79	timeout 10s
cp-sh	synthetic	10	100000	0.05	0	7	10.0789	0:00:10	689.98	1037.66	683.42	684.03	0.00	0.00	85.12	9.05	timeout 10s
cp-csh+gap	synthetic	10	100000	0.05	0	8	0.3456	0:00:00	0.01	1.34	0.03	0.03	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	8	0	1	0	Gap	12500	11337	11316	106901	119016	9920	0	1039	8857	3509	1.19	9.12	23.29	13.46	4403	3843	12304
cp-csh	synthetic	10	100000	0.05	0	8	8.2678	0:00:08	17.80	29.03	11.52	12.14	0.00	0.00	88.19	7.77	ok	10	100000	99999	0.00	GapSeed	8	0	1	0	Zero	12500	28149	28149	115254	133584	10167	0	22471	8853	2082	1.34	22.53	799.18	774.36	4403	3527	12182
cp-sh	synthetic	10	100000	0.05	0	8	10.0515	0:00:10	355.06	366.31	348.63	349.23	0.00	0.00	88.04	9.35	timeout 10s
cp-csh+gap	synthetic	10	100000	0.05	0	9	0.2164	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	9	0	1	0	Gap	11111	8120	8116	108916	121798	10032	0	1410	7523	3298	1.22	7.18	12.50	2.83	4403	3774	10958
cp-csh	synthetic	10	100000	0.05	0	9	0.7581	0:00:00	14.50	25.55	8.25	8.88	0.00	0.00	0.00	0.48	ok	10	100000	99999	0.00	GapSeed	9	0	1	0	Zero	11111	11921	11921	117328	136219	10277	0	2082	7519	4268	1.36	8.87	64.46	47.31	4403	3492	10913
cp-sh	synthetic	10	100000	0.05	0	9	0.4091	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	Unordered	9	0	1	0	Zero	8472	6127	6127	166680	192184	13839	0	173425	5126	0	1.92	4.98	33.96	0.00	4403	2345	7472
cp-csh+gap	synthetic	10	100000	0.05	0	10	0.2090	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	10	0	1	0	Gap	10000	6688	6687	111891	125609	10204	0	2309	6465	2722	1.26	6.48	12.47	2.09	4403	3704	9866
cp-csh	synthetic	10	100000	0.05	0	10	0.2522	0:00:00	1.49	7.38	0.32	0.46	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	10	0	1	0	Zero	10000	7553	7553	120104	139596	10432	0	922	6463	5153	1.40	6.07	17.39	4.36	4403	3447	9854
cp-sh	synthetic	10	100000	0.05	0	10	0.2720	0:00:00	0.73	4.35	0.30	0.34	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	Unordered	10	0	1	0	Zero	9385	6296	6296	130120	151449	11227	0	90019	5875	0	1.51	5.00	20.25	0.00	4403	3089	8965
cp-csh+gap	synthetic	10	100000	0.05	0	11	0.2099	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	11	0	1	0	Gap	9090	5763	5763	116045	130856	10412	0	4171	5628	2193	1.31	6.09	12.98	1.68	4403	3624	8977
cp-csh	synthetic	10	100000	0.05	0	11	0.2164	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	11	0	1	0	Zero	9090	5955	5955	124105	144331	10628	0	747	5626	4954	1.44	4.89	14.72	1.84	4403	3384	8970
cp-sh	synthetic	10	100000	0.05	0	11	0.2562	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	Unordered	11	0	1	0	Zero	8958	5691	5691	128202	149340	10878	0	83736	5499	0	1.49	4.75	18.92	0.00	4403	3267	8767
cp-csh+gap	synthetic	10	100000	0.05	0	12	0.2095	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	12	0	1	0	Gap	8333	5031	5031	121227	137211	10801	0	7172	4921	1763	1.37	5.29	13.76	1.53	4403	3561	8229
cp-csh	synthetic	10	100000	0.05	0	12	0.2150	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	12	0	1	0	Zero	8333	5076	5076	128907	150027	11010	0	860	4920	4450	1.50	4.34	14.84	1.48	4403	3341	8226
cp-sh	synthetic	10	100000	0.05	0	12	0.2650	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	Unordered	12	0	1	0	Zero	8304	5020	5020	132315	154150	11208	0	90463	4893	0	1.54	4.72	19.83	0.00	4403	3285	8178
cp-csh+gap	synthetic	10	100000	0.05	0	13	0.2141	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	13	0	1	0	Gap	7692	4430	4430	128970	146387	11393	0	13234	4339	1415	1.46	4.88	14.65	1.41	4403	3487	7604
cp-csh	synthetic	10	100000	0.05	0	13	0.2312	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	13	0	1	0	Zero	7692	4440	4440	136153	158329	11514	0	1081	4338	3958	1.58	3.99	17.21	1.34	4403	3291	7602
cp-sh	synthetic	10	100000	0.05	0	13	0.2839	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	Unordered	13	0	1	0	Zero	7686	4430	4430	139525	162349	11757	0	103603	4333	0	1.62	4.76	21.66	0.00	4403	3256	7590
cp-csh+gap	synthetic	10	100000	0.05	0	14	0.2399	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	14	0	1	0	Gap	7142	3933	3933	140181	159312	12006	0	25547	3853	1151	1.59	4.75	17.25	1.43	4403	3419	7065
cp-csh	synthetic	10	100000	0.05	0	14	0.2506	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	14	0	1	0	Zero	7142	3935	3935	147011	170538	12183	0	1650	3853	3520	1.71	6.08	17.05	1.31	4403	3232	7063
cp-sh	synthetic	10	100000	0.05	0	14	0.3198	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	Unordered	14	0	1	0	Zero	7140	3932	3932	150456	174595	12428	0	122171	3852	0	1.75	4.91	25.08	0.00	4403	3208	7060
cp-csh+gap	synthetic	10	100000	0.05	0	15	0.2808	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	15	0	1	0	Gap	6666	3511	3511	154697	175791	13120	0	51377	3438	934	1.76	4.37	21.83	1.52	4403	3354	6594
cp-csh	synthetic	10	100000	0.05	0	15	0.2571	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	15	0	1	0	Zero	6666	3512	3512	161033	186176	13246	0	2197	3438	3150	1.86	4.57	19.19	1.34	4403	3176	6593
cp-sh	synthetic	10	100000	0.05	0	15	0.3606	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	Unordered	15	0	1	0	Zero	6665	3511	3511	164975	190701	13445	0	146871	3438	0	1.91	4.14	29.90	0.00	4403	3154	6592
cp-csh+gap	synthetic	10	100000	0.05	0	16	0.3366	0:00:00	3.18	7.38	0.47	0.71	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	16	0	1	0	Gap	6250	3142	3142	177452	201148	14984	0	82132	3081	764	2.01	4.39	28.00	1.41	4403	3293	6190
cp-csh	synthetic	10	100000	0.05	0	16	0.3034	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	16	0	1	0	Zero	6250	3143	3143	183316	210609	15164	0	3657	3080	2820	2.11	3.97	24.35	1.24	4403	3123	6188
cp-sh	synthetic	10	100000	0.05	0	16	0.4439	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	Unordered	16	0	1	0	Zero	6250	3143	3143	187662	215525	15270	0	181637	3080	0	2.16	4.85	37.38	0.00	4403	3107	6188
cp-csh+gap	synthetic	10	100000	0.05	0	17	0.4316	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	17	0	1	0	Gap	5882	2835	2834	211417	238568	17404	0	126199	2777	621	2.39	4.25	37.00	1.40	4403	3220	5825
cp-csh	synthetic	10	100000	0.05	0	17	0.3325	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	100000	99999	0.00	GapSeed	17	0	1	0	Zero	5882	2835	2835	216178	246389	17581	0	6246	2776	2528	2.46	3.53	27.67	1.26	4403	3062	5824
cp-sh	synthetic	10	100000	0.05	0	17	0.5312	0:00:00	15.69	26.58	9.23	9.84	0.00	0.00	0.00	0.49	ok	10	100000	99999	0.00	Unordered	17	0	1	0	Zero	5882	2835	2835	221406	252149	17913	0	233984	2776	0	2.52	4.75	46.05	0.00	4403	3047	5824
cp-csh+gap	synthetic	10	100000	0.1	0	7	3.0699	0:00:03	20.54	31.75	14.16	14.80	0.00	0.00	67.75	2.57	ok	10	100000	100041	0.00	GapSeed	7	0	1	0	Gap	14285	20007	19907	146460	179544	11561	0	119855	7915	769	1.79	16.93	286.56	227.35	8482	6710	13949
cp-csh	synthetic	10	100000	0.1	0	7	10.0163	0:00:10	30.71	42.77	24.43	25.04	0.00	0.00	92.74	9.78	timeout 10s
