alg	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	md	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	precom	align	prune	ed	h0	h_ops
pa_noprune_nogreedy	1	100000	0.01			2.8137	0:00:02	197.26	293.78	192.07	192.43	0.00	0.00	72.50	2.53	ok	1	100000	99987	0.00	GapSeed	31	0	0	0	Gap	3225	2426	2426	4451808	4664019	0	150	0	0	0	46.64	4.37	2792.51	0.00	912	837	37164280
dijkstra	1	100000	0.05			331.0817	0:05:31	8750.06	8762.68	8743.92	8744.77	0.19	0.00	95.17	315.57	ok	1	100000	99968	0.00	Zero	0	0	0	0		0	0	0	573123699	573320582	139358553	0	0	0	0	5733.21	0.00	331062.66	0.00	4392	0	0
dijkstra_nogreedy	1	100000	0.05			372.3553	0:06:12	8752.74	8765.25	8746.50	8747.35	0.00	0.00	92.83	346.13	ok	1	100000	99968	0.00	Zero	0	0	0	0		0	0	0	448481968	451959507	0	0	0	0	0	4519.60	0.00	372339.66	0.00	4392	0	0
pa_noprune	1	100000	0.05			48.4732	0:00:48	1374.90	1386.95	1368.30	1369.22	0.00	0.00	92.93	45.54	ok	1	100000	99968	0.00	GapSeed	12	0	0	0	Gap	8333	5029	5029	69488207	71230846	17977134	0	0	0	0	712.31	6.24	48449.71	0.00	4392	3558	441347872
pa_noprune_nogreedy	1	100000	0.05			47.1535	0:00:47	1374.27	1386.07	1367.66	1368.57	0.00	0.00	95.33	45.44	ok	1	100000	99968	0.00	GapSeed	12	0	0	0	Gap	8333	5029	5029	53416879	54230435	0	22152	0	0	0	542.30	6.26	47129.52	0.00	4392	3558	449531072
dijkstra	1	100000	0.1			691.9680	0:11:31	20955.07	26170.11	20991.64	20992.38	0.19	0.00	97.71	676.66	ok	1	100000	99967	0.00	Zero	0	0	0	0		0	0	0	1111597703	1111794761	268722751	0	0	0	0	11117.95	0.00	691939.25	0.00	8486	0	0
dijkstra_nogreedy	1	100000	0.1			743.7730	0:12:23	17454.53	26170.98	17448.14	17448.86	0.00	0.00	99.03	736.97	ok	1	100000	99967	0.00	Zero	0	0	0	0		0	0	0	881127564	893744217	0	0	0	0	0	8937.44	0.00	743757.38	0.00	8486	0	0
pa_noprune	1	100000	0.1			156.6246	0:02:36	5406.58	5418.13	5400.01	5400.76	0.00	0.00	86.34	135.73	ok	1	100000	99967	0.00	GapSeed	9	0	0	0	Gap	11111	5868	5868	211995794	216304821	51760199	0	0	0	0	2163.05	7.30	156598.36	0.00	8486	6236	1466851072
pa_noprune_nogreedy	1	100000	0.1			152.4390	0:02:32	7805.46	8107.78	7805.34	7806.04	0.00	0.00	88.52	135.42	ok	1	100000	99967	0.00	GapSeed	9	0	0	0	Gap	11111	5868	5868	164280924	167865906	0	221451	0	0	0	1678.66	7.25	152407.28	0.00	8486	6236	1491111296
dijkstra	1	100000	0.2			784.1940	0:13:04	33052.39	52283.75	33069.94	33070.64	0.00	0.00	97.80	767.34	out-of-memory 137
dijkstra_nogreedy	1	100000	0.2			1002.2989	0:16:42	48913.39	52283.36	49061.31	49061.39	1.45	0.00	97.62	978.93	timeout 1000s
pa_noprune	1	100000	0.2			220.8647	0:03:40	5432.39	5447.46	5425.84	5426.56	0.19	0.00	88.38	195.67	ok	1	100000	99741	0.00	GapSeed	10	1	0	0	Gap	10000	27312	27312	293735835	300829635	71150041	1677582	0	0	0	3008.30	84.26	220758.58	0.00	15747	13007	3771342592
pa_noprune_nogreedy	1	100000	0.2			220.8367	0:03:40	5428.55	5442.96	5422.05	5422.81	0.00	0.00	87.97	194.78	ok	1	100000	99741	0.00	GapSeed	10	1	0	0	Gap	10000	27312	27312	227818211	236721766	0	1573223	0	0	0	2367.22	82.89	220732.31	0.00	15747	13007	3844172032
